Symbol,Company Name,Sector Index
MFSL,Max Financial Services Limited,NIFTY FINANCIAL SERVICES
MIDINDIA,Mid India Industries Limited,
MIRCELECTR,Mirc Electronics Ltd,NIFTY CONSUMER DURABLES
CENTENKA,Century Enka Ltd.,
MODTHREAD,Modern Thread (India) Ltd.,
LORDSCHLO,Lords Chloro Alkali Ltd,NIFTY CHEMICALS
SPICEJET,SpiceJet Limited,NIFTY SERVICES
MOREPENLAB,Morepen Laboratories Ltd.,NIFTY PHARMA
MRF,M.R.F. Ltd.,NIFTY AUTO
HEIDELBERG,HeidelbergCement  India Limited,NIFTY CONST MAT
NCC,NCC Limited,
VEDL,Vedanta Limited,NIFTY METAL
NAHARSPING,Nahar Spinning Mills Ltd.,
NAPEROL,Naperol Investments Limited,NIFTY FINANCIAL SERVICES
GRASIM,Grasim Industries Ltd,NIFTY CONST MAT
PEL,Piramal Enterprises Limited,NIFTY FINANCIAL SERVICES
NIITLTD,NIIT Ltd.,NIFTY SERVICES
JAYKAY,Jaykay Enterprises Limited,
NIRLON,Nirlon Limited,NIFTY SERVICES
ONGC,Oil And Natural Gas Corporation Ltd,NIFTY ENERGY
OILCOUNTUB,Oil Country Tubular Ltd.,NIFTY ENERGY
ORIENTHOT,Oriental Hotels Ltd.,NIFTY SERVICES
OSWALAGRO,Oswal Agro Mills Ltd.,NIFTY SERVICES
INDSUCR,Indian Sucrose Ltd.,NIFTY FMCG
PANCM,Panyam Cements & Mineral Inds. Ltd.,NIFTY CONST MAT
RELIANCE,Reliance Industries Ltd,NIFTY ENERGY
PILITA,Pil Italica Lifestyle Limited,NIFTY CONSUMER DURABLES
RAYMOND,Raymond Limited,NIFTY REALTY
PIDILITIND,Pidilite Industries Ltd.,NIFTY CHEMICALS
PIXTRANS,Pix Transmissions Ltd.,
BIRLACORPN,Birla Corporation Ltd.,NIFTY CONST MAT
SURYAROSNI,Surya Roshni Ltd.,
PRIMESECU,Prime Securities Ltd.,NIFTY FINANCIAL SERVICES
PRSMJOHNSN,PRISM JOHNSON LIMITED.,NIFTY CONST MAT
RAIN,Rain Industries Limited,NIFTY CHEMICALS
PRUDMOULI,Prudential Sugar Corporation Ltd,NIFTY FMCG
AMJLAND,AMJ LAND HOLDINGS LIMITED,NIFTY REALTY
PUNJCOMMU,Punjab Communications Limited,NIFTY TELECOM
RSWM,RSWM Limited,
RAJSREESUG,Rajshree Sugars & Chemicals Ltd.,NIFTY FMCG
RALLIS,Rallis India Ltd,NIFTY CHEMICALS
RAMANEWS,Shree Rama Newsprint Limited,
RAMAPPR-B,Rama Paper Mills Limited,
RAPICUT,Rapicut Carbides Ltd.,
WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LIMITED,
ROLTA,Rolta India Ltd.,NIFTY IT
RUBFILA,Rubfila International Ltd.,
PATANJALI,Patanjali Foods Limited,NIFTY FMCG
SALORAINTL,Salora International Limited,NIFTY SERVICES
JINDALSAW,Jindal Saw Ltd.,
JKLAKSHMI,JK Lakshmi Cement Limited,NIFTY CONST MAT
SHREECEM,Shree Cements Ltd.,NIFTY CONST MAT
SKPMIL,Shree Krishna Paper Mills & Industr,
SILVERLINE,Silverline Technologies Ltd.,NIFTY IT
RELINFRA,Reliance Infrastructure Ltd,
TATAPOWER,Tata Power Co. Ltd,
SPMLINFRA,SPML Infra Limited,
SUNDRMFAST,Sundram Fasteners Ltd.,NIFTY AUTO
SUNFLAG,Sunflag Iron & Steel Co. Ltd.,
SPLPETRO,Supreme Petrochem Ltd.,NIFTY CHEMICALS
